Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,5.270000,5.720000,5.250000,5.560000,5.054749,80037000
2017-02-01,5.580000,5.740000,5.250000,5.410000,4.971869,97640600
2017-03-01,5.540000,6.230000,5.450000,6.070000,5.578420,138412500
2017-04-01,6.050000,6.630000,5.740000,6.520000,5.991976,197454900
2017-05-01,6.550000,6.990000,6.310000,6.540000,6.064322,156759800
2017-06-01,6.470000,6.930000,6.340000,6.690000,6.203412,207583400
2017-07-01,6.790000,6.880000,6.500000,6.820000,6.323956,115501300
2017-08-01,6.850000,6.910000,6.380000,6.510000,6.036504,104795500
2017-09-01,6.520000,6.940000,6.290000,6.940000,6.501423,95111300
2017-10-01,6.710000,6.850000,6.450000,6.740000,6.314061,142269300
2017-11-01,6.750000,6.780000,6.370000,6.500000,6.132883,105847700
2017-12-01,6.660000,6.760000,6.410000,6.540000,6.170623,74156800
2018-01-01,6.550000,7.570000,6.480000,7.410000,6.991486,99095900
2018-02-01,7.360000,7.420000,6.510000,6.870000,6.545352,201567600
2018-03-01,6.850000,6.890000,6.330000,6.550000,6.240474,161707100
2018-04-01,6.550000,6.820000,6.350000,6.520000,6.211891,115445400
2018-05-01,6.510000,6.620000,5.250000,5.460000,5.201982,148077500
2018-06-01,5.570000,5.740000,5.260000,5.340000,5.146065,169433500
2018-07-01,5.300000,5.660000,5.270000,5.590000,5.386986,209349900
2018-08-01,5.570000,5.580000,4.880000,4.990000,4.874457,151727800
2018-09-01,4.920000,5.430000,4.820000,5.000000,4.884226,118988800
2018-10-01,5.030000,5.090000,4.500000,4.780000,4.669321,215514100
2018-11-01,4.840000,4.990000,4.630000,4.760000,4.688282,172193600
2018-12-01,4.860000,4.880000,4.210000,4.480000,4.412500,192150400
